recipeNumber	stepNumber	stepTitle	stepDescription
790	1	Step 1	Preheat oven to 180ºC. Bake the breadcrumbs on a baking tray for 5-8 minutes or until lightly toasted. Set aside to cool.
790	2	Step 2	Meanwhile, preheat grill on high. Cook capsicums, skin-side up, under grill for 8-10 minutes or until charred and blistered. Transfer to a sealable plastic bag. Set aside for 10 minutes to stand. Peel and discard the skin.
790	3	Step 3	Process the breadcrumbs, capsicum, chilli, garlic, pomegranate juice, lemon juice and 40g (1/4 cup) of the walnut in a food processor until almost smooth. With the motor running, add the oil in a thin steady stream until smooth. Season with salt. Transfer to a serving bowl. Sprinkle with remaining walnut. Serve with bread.
791	1	Step 1	Preheat the oven to 180C.
791	2	Step 2	Rub 2 teaspoons oil over the capsicums. Place on a baking tray and roast for 20 minutes or until soft. Turn off the oven and leave for a further 20 minutes until skins are wrinkled.
791	3	Step 3	Place capsicums in a large bowl, cover with plastic wrap, then cool for 10 minutes. Halve, then remove skin and seeds.
791	4	Step 4	Place capsicum, garlic, nuts, molasses, lemon juice, cumin, chilli and 2 tablespoons oil in a food processor and whiz until a coarse puree. Season with salt and pepper, then cover and chill for up to 2 days.
791	5	Step 5	Place the pita bread on a baking tray and lightly brush with the remaining 2 teaspoons oil. Sprinkle with the sumac, then bake for 10 minutes or until crisp. Cool, then break pita into pieces and serve with dip, sprinkled with extra sumac.
792	1	Step 1	Reserve 4 mulberries. Place remaining mulberries, orange rind, lemon juice, sugar and 1 tablespoon water in a heavy-based saucepan. Cook, stirring, over medium heat until sugar dissolves. Reduce heat to low. Cover with a lid and simmer for 3-5 minutes. Uncover and cook for a further 3-5 minutes or until mixture is pulpy.
792	2	Step 2	Transfer mulberry mixture to a food processor and process until smooth. Set aside to cool.
792	3	Step 3	Using an electric mixer, beat cream, mascarpone and liqueur until firm peaks form, then gently fold in cooled mulberry puree. Divide mixture among 4, 1 cup-capacity glasses. Refrigerate for 2 hours or until chilled. Top each fool with a reserved mulberry. Dust with a little icing sugar and serve with crisp biscuits on the side.
793	1	Step 1	Stir the sugar and water in a saucepan over medium heat for 2 minutes or until sugar dissolves. Simmer for 3 minutes to thicken slightly. Add the mulberries and liqueur, if using. Set aside for 5 minutes to cool slightly.
793	2	Step 2	Use a stick blender to blend until smooth. Strain through a fine sieve into a jug. Cover. Place in the fridge overnight to chill.
793	3	Step 3	Transfer the mulberry mixture to an ice-cream machine and churn following manufacturer’s instructions until the desired consistency.
794	1	Step 1	For the pastry, combine flours, cinnamon, custard powder and a good pinch of salt in a food processor. Add butter and whiz to fine crumbs. Add egg and 2 tbs chilled water, then whiz until mixture comes together in a smooth ball. Shape into a disc, enclose in plastic wrap and chill for 30 minutes.
794	2	Step 2	Meanwhile, combine wine, sugar, cinnamon, cloves, orange zest, star anise and vanilla in a saucepan over low heat, stirring until sugar dissolves. Remove pan from heat and set aside for 15 minutes to infuse. Strain through a sieve (discard solids), return to pan with cherries, then simmer gently over low heat until cherries start to soften. Combine arrowroot with 2 tbs cold water in a small bowl and stir until smooth. Add 1 tbs cherry liquid and stir to combine. Add arrowroot mixture to pan and cook, stirring, for a further 2-3 minutes until mixture thickens. Cool.
794	3	Step 3	Preheat oven to 180°C. Grease a 22cm loose-bottomed tart pan.
794	4	Step 4	Divide pastry into 2 equal portions.
794	5	Step 5	Roll out 1 portion on a lightly floured work surface and use to line the base and side of the tart pan, trimming and reserving excess pastry for decorating. Roll out second portion of pastry to a 24cm round. Fill tart base with cooled cherry mixture. Brush edges of pastry with a little cold water. Place second pastry round over the top, trimming excess pastry, then press and crimp edge to seal.
794	6	Step 6	Roll out reserved pastry trimmings and, using a star cookie cutter, cut out star shapes. Brush one side of each with a little cold water, then place, brushed-side down, on top of pie. Dust with extra caster sugar, then bake pie for 35 minutes or until pastry is golden and crisp. Stand for 5 minutes, then serve with ice cream.
795	1	Step 1	Combine the wine, sugar, bay and spices in a pan and stir over low heat until sugar dissolves. Increase heat to medium and simmer for 15 minutes. Add cherries (if using maraschino cherries, add with the other fruit) and simmer for 5 minutes.
795	2	Step 2	Dissolve arrowroot in a little cold water. Add some hot wine mixture to arrowroot, return to pan and cook for 5 minutes or until slightly reduced. Set aside to cool.
795	3	Step 3	Place remaining fruit in a bowl. Pour over mulled wine and cherries, cover with plastic wrap and refrigerate for 2 hours.
795	4	Step 4	For custard, place milk, bay, cardamom and vanilla in a pan over medium heat. Bring just to boiling point, then leave for 15 minutes to infuse. Whisk yolks, sugar and cornfl our. Add strained milk, then stir in a pan over low heat for 5 minutes or until thickened. Serve with mulled fruits.
796	1	Step 1	Place pears in a pan that fits them snugly. Pour over wine, sugar, vanilla, spices and 300ml water, then cover surface closely with a sheet of baking paper. Bring to a simmer over medium-high heat, then cook for 10-15 minutes until tender (this will depend on ripeness of pears). Remove pears, then simmer liquid until reduced by half. Pour over pears and allow to steep in liquid until ready to serve (up to 24 hours).
796	2	Step 2	Whisk vinegar, oil and 2-3 tablespoons poaching liquid in a bowl. Season, then set the vinaigrette aside. For roquefort dressing, warm the creme fraiche and half the Roquefort in a small pan over low heat for 2-3 minutes, stirring until smooth.
796	3	Step 3	Toss leaves and walnuts with vinaigrette, then divide among plates. Top with pears, crumble over remaining cheese, then serve warm Roquefort dressing in small jugs or shot glasses to pour at the table.
797	1	Step 1	For the biscuits, sift the flour into a large bowl. Use your fingertips to rub the butter into the flour until the mixture resembles fine breadcrumbs. Add the stilton and parmesan and use a wooden spoon to mix until combined. Use your hands to knead the mixture into a dough. Turn dough onto a lightly floured surface and shape into a 20cm-long log. Enclose in plastic wrap and place in the fridge for 30 minutes to chill.
797	2	Step 2	Preheat oven to 180C/160C fan forced. Line a baking tray with baking paper. Use a sharp knife to slice the dough into twenty 3mm-thick rounds. Place on tray, allowing room for spreading. Press a walnut into the centre of each biscuit. Bake for 10 minutes or until golden. Cool on tray for 5 minutes. Transfer to a wire rack to cool completely.
797	3	Step 3	Meanwhile, peel and slice 1 orange. Juice remaining orange. Place orange juice, orange slices, water, sugar, cloves, cinnamon, allspice and nutmeg in a saucepan over medium-low heat. Bring to the boil, stirring, until sugar dissolves. Reduce heat to low. Simmer for 10 minutes or until aromatic. Stir in the port for 5 minutes or until warmed through (do not boil). Strain through a fine sieve into a heatproof jug. Ladle mulled port into small glasses. Serve with the biscuits.
798	1	Step 1	Place the wine, sugar, brandy, water, orange, lemon, cinnamon, cloves and nutmeg in a large saucepan over low heat. Simmer, stirring occasionally, for 5-10 minutes or until sugar dissolves and mixture is aromatic. Remove from heat.
798	2	Step 2	Strain mulled wine into a large jug. Pour among serving glasses. Decorate with lemon peel and serve immediately.
799	1	Step 1	Heat cloves, cinnamon, sugar, nutmeg, water, orange rind and apple in a large saucepan over medium heat.
799	2	Step 2	Bring to the boil, then reduce heat to low and simmer for 10 minutes.
799	3	Step 3	Add red wine and simmer for another 5 minutes. Remove from heat. Strain and divide among serving glasses. Serve immediately.
800	1	Step 1	Combine 1 cup cold water, sugar, cinnamon, cloves, orange rind and vanilla bean in a medium saucepan over low heat. Cook, stirring, for 2 to 3 minutes or until sugar dissolves. Increase heat to medium-high. Bring to the boil. Reduce heat to low. Simmer for 5 minutes or until fragrant.
800	2	Step 2	Add wine. Increase heat to medium-high. Bring to the boil. Remove from heat. Stir in liqueur (if using). Strain into heatproof glasses. Serve.
801	1	Step 1	Place cinnamon sticks, cloves, vanilla bean, orange slices, sugar and wine in a saucepan over medium-low heat. Bring to a simmer. Simmer for 10 minutes or until fragrant and sugar has dissolved. Cover. Set aside for 10 minutes to let flavours develop.
801	2	Step 2	Strain mixture into a heatproof jug. Pour into warmed glasses. Top with halved orange slices. Serve.
802	1	Step 1	Combine the spices, sugar and most of the orange (reserve some slices for serving) with 1 cup of water in a medium saucepan. Bring to a simmer over low heat, stirring to dissolve the sugar. Simmer for 5 mins.
802	2	Step 2	Add wine and heat gently until hot. Strain the mixture into a warm serving jug and pour into warmed glasses. Top with reserved orange slices.
803	1	Step 1	Combine wine, sugar, cinnamon, star anise and cloves in a large saucepan over low heat. Cook, stirring occasionally, for 5 to 10 minutes or until sugar dissolves and mixture is heated through, adding extra sugar if needed (see Notes).
803	2	Step 2	Add orange to wine mixture. Stand for 2 minutes. Pour among heatproof serving glasses. Serve warm.
804	1	Step 1	Combine cordial and spices in a pan with 1 cup (250ml) water over high heat. Bring to the boil, then reduce heat to low and simmer for 30 minutes or until fragrant. Remove from heat, cover and set aside at room temperature overnight.
804	2	Step 2	The next day, strain into a clean pan with wine and sugar. Place over medium heat, stirring until sugar dissolves.
804	3	Step 3	Serve warm in heatproof glasses with extra cinnamon quills as stirrers.
805	1	Step 1	Place rinds, cinnamon quills, cloves, vanilla pod and seeds and vodka in a bowl. Stand, covered at room temperature for 4 hours or overnight to infuse.
805	2	Step 2	Once citrus mix is ready, soak gelatine in a bowl of cold water for 5 minutes.
805	3	Step 3	Meanwhile, transfer citrus mixture to a pan. Add the port, wine and sugar, then place over low heat and cook, stirring, until sugar dissolves (don't let it boil). Squeeze gelatine to remove any excess water, then add the leaves to the pan and stir to dissolve. Cool slightly.
805	4	Step 4	Strain the mulled wine into a jug, then pour into a 1-litre jelly mould. Cover and chill overnight until set.
805	5	Step 5	When ready to serve, whip cream then fold in ground cinnamon. Unmould the jelly, then serve with cinnamon cream.
806	1	Step 1	Combine wine, sugar, spices and honey in a saucepan over medium heat and bring to the boil. Cook, stirring, for 1-2 minutes until sugar dissolves.
806	2	Step 2	Add pears, topping up pan with extra water to cover. Bring to a simmer, then cover surface with baking paper. Reduce heat to low, then cook for 40 minutes or until pears are tender. Transfer the pears to a plate and set aside.
806	3	Step 3	Increase the heat to medium and cook the syrup for 15 minutes or until reduced.
806	4	Step 4	Serve the pears warm drizzled with syrup and with chunks of brie.
807	1	Step 1	To make the mulled wine sauce, combine wine, caster sugar, redcurrant jelly, spices and zest in a pan over medium-low heat.
807	2	Step 2	Cook, stirring, for 1-2 minutes until sugar dissolves. Cook for a further 15 minutes or until reduced and syrupy. Strain, discarding solids. Set aside to cool.
807	3	Step 3	Preheat oven to 180C. Place plums, cut-side up, in a 2L (8-cup) baking dish, then bake for 10 minutes or until softened.
807	4	Step 4	Meanwhile, sift flour and ground cinnamon into a bowl and rub in butter until mixture resembles fine breadcrumbs.
807	5	Step 5	Add brown sugar, egg, rosemary and buttermilk, and stir to combine. Set aside.
807	6	Step 6	Remove plums from the oven. Drizzle with 1 cup (250ml) mulled wine sauce, then drop heaped spoonfuls of dough over plums. Scatter with almonds, then bake for 30 minutes or until golden.
807	7	Step 7	Garnish cobbler with extra rosemary sprigs and serve with remaining mulled wine sauce and double-thick cream.
808	1	Step 1	To make the sorbets, cut one orange in half and stud both halves with cloves. Place in a saucepan with cinnamon sticks, wine, mixed spice and sugar. Stir over low heat until sugar dissolves, then cover and cook over very low heat for 10 minutes. Cool, then strain. Juice the remaining orange and stir juice and port or brandy into the mulled wine. Refrigerate for several hours to chill completely.
808	2	Step 2	Pour the mixture into a shallow container and freeze until frozen at the edges. Remove from freezer and beat with an electric beater. Pour back into the container and re-freeze. Repeat 2 or 3 times. (Alternatively use an ice-cream machine following manufacturer's directions.)
808	3	Step 3	Preheat oven to 140°C.
808	4	Step 4	While sorbet is freezing, prepare biscuits. Place sugar in a food processor with flour, rice flour and 1 teaspoon salt, add butter and process until just combined. Transfer to a lightly floured work surface and gently press mixture together with your hands to form a ball. Divide into two. Roll each piece out to 1cm-thick. Use a 4cm plain round cutter to cut into rounds, place on a lightly greased baking tray, sprinkle with a little extra sugar, prick biscuits with a fork and press a clove into the centre of each. Cook on lower oven racks for 25 minutes. They should just be lightly coloured when cooked. Cool on a wire rack, then store in an airtight container.
808	5	Step 5	Scoop sorbet into glasses and serve with one or two clove biscuits on the side.
809	1	Step 1	Place all ingredients in a medium saucepan over medium-low heat. Cook, stirring, for 5 minutes or until sugar has dissolved.
809	2	Step 2	Increase heat to high. Bring to boil. Reduce heat to medium-low. Simmer for 25 to 30 minutes or until slightly thickened. Cool.
809	3	Step 3	Strain through a fine sieve into a jug. Discard solids. Refrigerate for 30 minutes or until chilled.
810	1	Step 1	Combine the wine, orange, figs, cinnamon and cloves in a large saucepan over medium heat. Simmer for 3 minutes. Set aside for 10 minutes to infuse. Strain the wine mixture through a sieve into a jug, reserving the figs. Discard the orange, cinnamon and cloves. Coarsely chop the figs.
810	2	Step 2	Divide the fig among heatproof serving glasses and pour over the wine.
811	1	Step 1	Place the wine, lemon and orange rind, spices and 1/4 cup (55g) of the sugar in a saucepan over medium-low heat. Stir to dissolve sugar and simmer gently for 15 minutes. Set aside half the wine.
811	2	Step 2	Soften 2 gelatine leaves in cold water for 5 minutes, squeeze dry and stir into the remaining mulled wine. Cool, then strain and pour mixture into the base of six 200ml dariole moulds.
811	3	Step 3	Cover and chill for 1 hour or until firm.
811	4	Step 4	In a saucepan, heat the creams, remaining 3/4 cup (165g) sugar and vanilla pod and seeds over low heat to just below boiling point. Soften the remaining 4 gelatine leaves in cold water for 5 minutes, then squeeze dry and add to the cream mixture, stirring to combine.
811	5	Step 5	Cool completely, then pour over the mulled wine jelly in the moulds. Cover and chill for 4 hours or overnight.
811	6	Step 6	Meanwhile, reduce the reserved mulled wine over medium-low heat until syrupy, then discard solids and cool.
811	7	Step 7	When ready to serve, run a knife around the edge of the moulds to loosen. Invert onto plates and serve with a little of the mulled wine syrup.
812	1	Step 1	Heat oil in a large saucepan over medium heat. Cook onion, stirring, for 5 minutes or until softened. Add curry powder. Cook, stirring, for 30 seconds or until fragrant.
812	2	Step 2	Add chicken. Turn to coat. Add stock. Cover. Bring to the boil. Reduce heat to low. Simmer, covered, for 30 minutes or until chicken is just cooked through.
812	3	Step 3	Transfer chicken to a bowl. Cool slightly. Using a fork, shred chicken. Return chicken to pan. Add apple, lentils and coconut milk. Bring to a simmer. Simmer, partially covered, for 15 minutes or until lentils are tender. Stir in lemon juice. Season with pepper. Ladle into bowls. Top with coriander. Serve with pappadums.
813	1	Step 1	Heat oil in a large saucepan over medium heat. Add onion. Cook for 5 minutes or until onion has softened. Add curry paste. Cook for 1 minute or until fragrant. Add chicken. Stir to coat. Add zucchini and tomato paste. Cook for 10 minutes or until vegetables are just tender and chicken browned.
813	2	Step 2	Add stock and 6 cups cold water. Bring to the boil. Add rice. Reduce heat to low. Simmer for 30 minutes or until rice is tender and chicken cooked through. Serve.
814	1	Step 1	Preheat oven to 200°C/180°C fan-forced. Spray 1 side of each wrap with oil. Sprinkle each with herbs. Season with salt and pepper. Cut each wrap into 16 triangles. Place, in a single layer, on a baking tray
814	2	Step 2	Bake for 4 to 5 minutes or until crisp. Transfer to a wire rack to cool. Serve with dips (see related recipes).
815	1	Step 1	Warm the booze and the orange juice on the stove. Pour in the raisins, sultanas, currants and mystery dried fruit. Add in the orange zest.
815	2	Step 2	Warm through and then pour the lot into a plastic or ceramic bowl. Leave them to soak until they plump up and get all squishy – this should take about 30 minutes.
815	3	Step 3	Take the butter and eggs from the fridge to bring them up to room temperature.
815	4	Step 4	Preheat the oven to 150C.
815	5	Step 5	Prepare your cake tin. You will need a 23cm round or a 20cm square tin. Butter all the sides of the cake tin and base. Line the tin base with baking paper. You can line the sides as well if you wish. If you are a devil-maycare risk-taker, don’t.
815	6	Step 6	Now take a 1mlength of string and five sheets of newspaper and place the cake tin in the middle of them. Lift up the newspaper and wrap it tightly around the sides of the tin, securing it with the string. This is to insulate the cake so it cooks evenly. Trim the excessive edges off the paper so just a small collar remains above the top of the tin.
815	7	Step 7	Find a large metal or ceramic mixing bowl. Using a mixer or whisk, cream roomtemperature butter and sugar together. Keep doing this until the result is pale, fluffy and it has increased in volume. Do this for at least five minutes. Now beat in the treacle in a thin dribble.
815	8	Step 8	Using a fork, roughly mix the eggs together so the yolks break and the whites are well marbled. Add some of the egg – about a sixth of the mass – to the mixture. Beat it in so it’s fully incorporated. Now add some more egg. Beat it in properly. And so on. After you’ve added about two-thirds of the eggs, sprinkle and beat in about 1 tablespoon flour.
815	9	Step 9	This should stop the creamed butter and eggs curdling. Now beat in the rest of the eggs in two batches.
815	10	Step 10	Next, grab a sieve and shake the rest of the flour, bicarb, salt and spices into the egg mix and fold it in along with the soaked fruit, cherries and half the almonds. Stir.
815	11	Step 11	Fill the tin with cake mix and smooth out the top. Top with the remaining almonds. Cover the top with foil and pop in the oven for 90 minutes.
815	12	Step 12	Now, turn the temperature down to 140C, remove the foil and cook for a further 90 minutes. Depending on your oven, the cake may now be cooked.
815	13	Step 13	Check it by piercing with a skewer. If the skewer comes out clean it is definitely cooked. If it has a lot of mix stuck to it, it needs another 30 minutes. If it has a little bit of cake on it and you like your fruit cake a little sludgy in the middle, just check the cooking closer to the edge. If it’s set near the edge (skewer comes out clean), take the cake out. Leave to cool in the tin. Remove and wrap in baking paper and a layer of foil.
815	14	Step 14	Store in an airtight cake tin. Avoid cutting it for a week or two so the cake can mature.
816	1	Step 1	Combine all the ingredients, except the icing sugar, in a bowl, stirring well to combine. Cover, then place in the fridge overnight to let the flavours infuse.
816	2	Step 2	The next day, for the pastry, whiz flour, butter and 1/2 teaspoon salt in a food processor until crumbs form. With the motor running, gradually add 80ml-100ml cold water until the dough just comes together. Halve dough and shape into 2 discs. Enclose in plastic wrap and chill for 30 minutes.
816	3	Step 3	Drain the fruit mince, then pulse a few times in a food processor to finely chop.
816	4	Step 4	Preheat oven to 200°C. Roll out 1 pastry disc to 3mm thick. Cut out 24 x 7cm circles, reserving trimmings, then use to line a greased 24-hole mini (1 1/2 tablespoons) muffin pan. Fill each with about 1/2 teaspoon fruit mince.
816	5	Step 5	Roll out remaining pastry disc to 3mm thick. Cut out 24 x 5cm circles, reserving trimmings, then brush the edges with a little water. Press the lids over the filling, wet-side down, gently pressing the edges to seal. Brush liberally with egg wash.
816	6	Step 6	Re-roll pastry trimmings then use a 2cm star-shaped cutter to make 24 stars. Top pies with stars, then brush with egg wash.
816	7	Step 7	Bake for 20-25 minutes until golden brown. Cool, then dust with icing sugar.
817	1	Step 1	Heat a medium heavy sauté pan over medium-high heat. Add the oil and ham hock pieces and cook for about 2 minutes, or until brown and crisp. Add the pumpkin and mushrooms and stir for about 10 minutes, or until the vegetables are caramelised and tender. Stir in 1 tablespoon of the vinegar, the chives and parsley. Remove the pumpkin hash from the heat and set aside in a warm place.
817	2	Step 2	Meanwhile, in a large deep saucepan, combine the remaining 2 tablespoons vinegar and 2 litres of water and bring to a boil over high heat. Reduce the heat to medium so that the water is just simmering.
817	3	Step 3	Crack 1 egg into a small bowl and then gently transfer the egg to the simmering water. Repeat with remaining eggs. Allow the eggs to poach for about 3 minutes, or until the whites are set but the yolks are still creamy. Using a slotted spoon, gently remove the eggs from the simmering water and set them on kitchen paper to dry briefly.
817	4	Step 4	In a small saucepan over low heat, whisk the goat cheese and cream constantly for about 2 minutes, or until the mixture is warm and smooth and the cheese has melted. Season lightly with salt.
817	5	Step 5	Divide the pumpkin hash among 4 plates. Place a poached egg alongside the hash. Spoon the goat cheese cream over the eggs and serve.
818	1	Step 1	Place noodles in a heatproof bowl. Cover with boiling water. Drain immediately. Separate noodles with a fork.
818	2	Step 2	Heat a wok over high heat. Add 1 tablespoon oil. Swirl to coat. Add mince. Stir-fry, breaking up mince, for 8 minutes or until browned. Add curry powder. Stir-fry for 1 minute. Transfer to a bowl, draining any excess fat.
818	3	Step 3	Meanwhile, combine stock, soy, vinegar and sugar in a small jug.
818	4	Step 4	Add remaining oil to wok. Swirl to coat. Add onion, carrot and celery. Stir-fry for 3 to 4 minutes or until tender. Add broccoli. Stir-fry for 2 minutes. Add garlic. Stir-fry for 1 minute or until fragrant.
818	5	Step 5	Return mince to wok with corn and stock mixture. Stir-fry for 1 minute or until combined. Add noodles. Toss until heated through. Top with green onion. Serve.
819	1	Step 1	In a large bowl, stir all of the filling ingredients together. Cover and set aside for at least 30 minutes to allow the flavours to develop. Filling will make 24 tablespoons or 1 1/2 cups (480g).
819	2	Step 2	Meanwhile, to make the pastry, blend the flour, icing sugar, and salt in a food processor. Add the butter and pulse until pea-size bits of butter remain. Pulse in 1/4 cup of the water until the mixture just comes together in beads. Add more water by the teaspoon if the dough is too dry. Divide the dough into 3 equal pieces. Flatten each into a disc, wrap separately in plastic wrap, and refrigerate for about 30 minutes, or freeze for up to 1 week.
819	3	Step 3	Position a rack in the lower third of the oven and preheat the oven to 200C (180C fan forced). Lightly oil two 12-hole shallow tart pans.
819	4	Step 4	Roll out 1 dough disc on a lightly floured work surface into a 3mm thickness. Using a round 7cm cutter, cut out 12 rounds (slightly larger than the holes in the tins). Line each hole with a pastry. Repeat with the second pastry disc.
819	5	Step 5	Divide the fruit mince evenly among the pastry cases.
819	6	Step 6	Roll out the remaining pastry, a little thinner than before. Cut out stars, Christmas trees, or other desired shapes to place on top of the pie filling. In a small bowl, whisk together the egg and cream and lightly brush over the pastry tops.
819	7	Step 7	Bake for 15 to 20 minutes, or until the crusts are golden. Transfer the tins to a rack to cool for 5 minutes. Carefully remove the tarts from the tins and cool on the rack. Sift the icing sugar over and serve.
820	1	Step 1	Preheat oven to 180°C. Combine butter and honey in a saucepan over medium heat, stirring until melted. (Alternatively, place in a microwave-safe container and microwave on high for 2 minutes.)
820	2	Step 2	Place flour, cornflakes, coconut, rolled oats and sultanas in a bowl. Pour in honey mixture and stir until just combined.
820	3	Step 3	Sit 12 patty cases in a 12-hole muffin pan. Place a heaped tablespoon of the mixture in each patty case and bake for 10-12 minutes or until golden brown.
821	1	Step 1	Combine the muscatels and rum in a small saucepan over low heat. Bring to a simmer. Remove from heat and transfer to a heatproof bowl. Cover with plastic wrap and set aside for 30 minutes to soak.
821	2	Step 2	Preheat oven to 180°C. Spread brioche with butter and marmalade. Arrange one-third of the brioche slices in a 6-cup (1.5L) capacity ovenproof dish. Sprinkle one-third of the muscatel mixture over brioche. Continue layering with remaining brioche and muscatels.
821	3	Step 3	Whisk together the milk, cream, eggs, brown sugar and vanilla in a large bowl until well combined. Pour over the brioche and set aside for 30 minutes to soak.
821	4	Step 4	Place the dish in a large roasting pan. Pour in enough boiling water to come halfway up the side of the dish. Bake in preheated oven for 40 minutes or until just set. Remove from oven.
821	5	Step 5	Place the caster sugar in a medium frying pan over high heat. Cook, stirring with a wooden spoon, for 5 minutes or until sugar melts and caramelises. Drizzle over pudding. Serve immediately or at room temperature.
822	1	Step 1	Preheat oven to 160°C. Line a baking tray with non-stick baking paper. Arrange the combined mushroom, in a single layer, on the lined tray. Lightly spray with olive oil spray and season with salt and pepper. Bake in oven for 20 minutes or until the mushroom is tender.
822	2	Step 2	Meanwhile, cook the asparagus in a medium saucepan of boiling water until bright green and tender crisp. Refresh under cold running water. Drain. Whisk together the vinegar, oil, garlic and sugar in a small bowl.
822	3	Step 3	Place the asparagus, onion and rocket in a large bowl. Add the mushroom and vinegar mixture and gently toss until just combined. Taste and season with pepper. Divide the salad among serving bowls and sprinkle with chives. Serve immediately.
823	1	Step 1	Preheat oven to 180°C. Brush four round 10cm (base measurement) ovenproof pie dishes with oil to lightly grease.
823	2	Step 2	Cut the pastry sheets in half. Place in a stack and cut in half again to make 32 squares. Place 4 squares of pastry in the base of a prepared dish, allowing the corners to extend over the edge of the dish. Place another four pastry squares on top, rotating them slightly to cover the sides of the dish. Brush lightly with oil and repeat with the remaining pastry squares and pie dishes. Place on an oven tray and cook in preheated oven for 15 minutes or until golden and crisp. Remove from oven and set aside.
823	3	Step 3	Meanwhile, heat a large non-stick frying pan over medium-high heat. Add the bacon and cook for 5 minutes or until brown and crisp (see microwave tip). Drain on paper towel. Coarsely chop.
823	4	Step 4	While the bacon is cooking, heat the butter in a large frying pan over medium heat until foaming. Add the onion and garlic and cook for 2 minutes or until onion is soft. Add mushrooms and cook, tossing occasionally, for 5 minutes or until tender. Remove from heat and stir in the chopped bacon and chives. Taste and season with salt and pepper.
823	5	Step 5	Combine the sour cream and horseradish in a small bowl. Taste and season with salt and pepper. Place the pastry cases on serving plates, spoon in the mushroom mixture and top with a dollop of horseradish cream. Serve with baby rocket leaves.
824	1	Step 1	Heat 2 teaspoons of oil in a large saucepan over a medium heat. Cut any large mushrooms in half and put the cup, Swiss brown and shiitake mushrooms in the pan. Cook for 4 minutes, stirring gently. Add the oyster mushrooms in the last 2 minutes. Remove and set aside.
824	2	Step 2	Heat the beef stock and 1 1/2 cups water in a saucepan over a medium heat.
824	3	Step 3	Heat the remaining oil and butter in the large saucepan. Add the onion and garlic. Cook for 3 minutes or until soft. Add the rice and stir until well coated in the oil.
824	4	Step 4	Add 1 cup of the hot stock and cook, stirring often, until the stock is absorbed. Continue adding the stock 1 cup at a time, stirring until the stock is absorbed and the rice is just tender.
824	5	Step 5	Stir the mushrooms and baby bok choy leaves through the risotto with the last cup of stock. Season to taste. Divide among serving dishes. Serve immediately.
825	1	Step 1	Preheat oven to 200°C. Heat the oil in a large non-stick frying pan over medium heat. Add the mushroom and cook, stirring occasionally, for 3-4 minutes or until tender. Spoon mushroom evenly among four 125ml (1/2-cup) capacity ovenproof ramekins. Pour egg over the mushroom. Place 1 teaspoon of cream cheese in the centre of each ramekin and garnish with 3 parsley leaves.
825	2	Step 2	Bake in preheated oven for 8-10 minutes or until the egg is just set. Season with salt and pepper and serve immediately.
826	1	Step 1	Preheat the oven to 180°C and lightly grease a baking tray.
826	2	Step 2	Heat 2 tablespoons of the oil in a frypan, add the onion and cook over low heat for 10 minutes, stirring occasionally, until softened and beginning to caramelise. Add the balsamic vinegar and cook for a further 5 minutes, stirring occasionally.
826	3	Step 3	Place the mushrooms upside-down on the baking tray, drizzle with the remaining olive oil and place in the oven for 10 minutes, until almost cooked through.
826	4	Step 4	Stir the sundried tomatoes into the onion mixture along with salt and freshly ground black pepper. Spoon the mixture into the mushroom cups, cover with slices of goats' cheese and top with prosciutto. Return to the oven and bake for a further 10 minutes until the cheese is tinged golden.
826	5	Step 5	Split the woodfired rolls in half and arrange some rocket leaves on the base of each one. Place a mushroom on top and drizzle with extra virgin olive oil to serve.
827	1	Step 1	Place a large saucepan over medium – high heat, add 20g/1 tablespoon of butter then onion, cook for 2 minutes then add garlic and sage leaves cook for a further minute. Increase heat to high then add red wine, allow wine to reduce to almost no liquid.
827	2	Step 2	Add remaining butter then add mushrooms, thyme and cook for a further 5-10 minutes. Add carrots and stock, reduce heat to a medium simmer and allow mixture to cook for 30 minutes, stirring occasionally.
827	3	Step 3	Preheat fan-forced oven to 200 degrees. Remove puff pastry from freezer to thaw about 15 minutes prior to baking.
827	4	Step 4	Mix the corn flour together with a few tablespoons of water until there are no lumps of flour. Add this to the mixture together with the lentils. Stir well and season with salt and pepper.
827	5	Step 5	Divide mixture between 1-cup capacity ovenproof ramekins. Cut out a circle of pastry for each ramekin ensuring that the circle is slightly larger than the rim of your ramekin. Dip a pastry brush into the egg and brush each ramekin rim with egg wash. Carefully place the pastry on top of the ramekin to create a lid, pinch the edges with your fingers and brush egg wash all over the pastry to secure it.
827	6	Step 6	Place ramekins in oven and bake for around 20 – 25 minutes. Remove from oven and serve pot pies warm.
828	1	Step 1	Preheat oven to 220°C. Brush a 9 x 19cm (base measurement) non-stick loaf pan with oil to lightly grease.
828	2	Step 2	Heat the oil in a large non-stick frying pan over medium heat. Add the mushrooms and garlic and cook, stirring, for 2-3 minutes or until just tender. Remove from heat.
828	3	Step 3	Place nutmeat and eggs in the bowl of a food processor and process until well combined. Transfer to a bowl with mushroom mixture, breadcrumbs and parsley, and stir to combine. Season with salt and pepper. Press nutmeat mixture into prepared pan. Cover with foil and place in a roasting pan. Pour enough boiling water into the roasting pan to reach two-thirds of the way up the sides of the loaf pan. Bake in preheated oven for 10 minutes. Remove foil. Bake for a further 10 minutes or until set.
